Date,Open,High,Low,Close,Volume,RSI_14,VWAP,MFI_14
2020-01-03,137.5,139.23,137.08,138.34,10387518.0,0.0,139.3722956,0.0
2020-01-06,136.56,138.27,136.5,138.23,10266522.0,0.0,138.81591,0.0
2020-01-07,137.28,137.86,135.82,135.88,10576911.0,0.0,138.2399593,0.0
2020-01-08,135.7,137.58,135.6,136.94,9697731.0,19.73973311,137.9522886,23.62126872
2020-01-09,138.05,138.23,137.04,137.44,9470746.0,26.57586004,137.8930865,38.01213094
2020-01-10,137.21,137.25,135.81,136.07,10192026.0,21.54706827,137.6764545,31.64987488
2020-01-13,136.19,137.2,135.76,137.2,12381809.0,32.13848418,137.535254,43.20397375
2020-01-14,137.94,140.76,137.69,138.8,24942958.0,43.02914225,137.8902951,57.82428146
2020-01-15,137.85,138.6,136.15,136.72,16293416.0,35.60168093,137.7945849,49.58908076
2020-01-16,137.45,137.9,136.84,137.25,10783752.0,38.31473301,137.7576581,53.9364812
2020-01-17,137.54,138.29,137.32,138.2,14697672.0,42.64602488,137.7751547,58.80043587
2020-01-21,137.19,138.07,136.69,136.84,8474247.0,38.75087726,137.7444712,55.44303551
2020-01-22,137.24,137.4,136.38,136.68,7549111.0,38.33895659,137.7025293,52.76650121
2020-01-23,135.71,136.74,134.72,136.54,9345683.0,37.98557791,137.6119908,49.8076196
2020-01-24,136.37,136.43,132.32,133.15,15166392.0,34.48896023,137.3223926,48.53116777
2020-01-27,130.27,132.94,129.71,132.03,12860456.0,32.5255017,136.9587083,47.95477252
2020-01-28,132.84,134.97,132.48,134.43,13062789.0,45.92466325,136.7780533,54.66299378
2020-01-29,134.81,135.54,133.69,134.23,9326173.0,41.99635239,136.6835636,54.52728717
2020-01-30,132.69,136.13,132.69,135.89,9048887.0,45.71587947,136.6150741,54.37010986
2020-01-31,134.49,134.83,131.47,132.36,12785242.0,40.83946599,136.4228557,53.66998483
2020-02-03,132.66,134.24,132.66,133.37,10021369.0,40.48691358,136.3063553,52.98035818
2020-02-04,135.55,136.6,135.08,135.29,9157126.0,41.41798732,136.2840875,48.10698007
2020-02-05,136.57,137.73,136.01,137.59,10150709.0,52.10454319,136.3143181,56.83451694
2020-02-06,138.24,138.29,137.11,137.61,8992592.0,50.8928424,136.3568964,56.31915284
2020-02-07,136.73,137.67,136.3,137.17,6379784.0,47.37912429,136.3719313,49.14121009
2020-02-10,136.95,137.85,136.75,137.74,5960700.0,52.38601926,136.3933817,54.38157483
2020-02-11,138.26,138.82,137.78,138.0,6578649.0,53.4809533,136.4323195,59.59469848
2020-02-12,138.6,139.29,137.8,138.0,7957984.0,53.87882365,136.4813857,66.07277938
2020-02-13,137.75,138.34,136.4,137.88,7447535.0,65.20921351,136.5059743,69.86506906
2020-02-14,137.84,138.19,136.94,137.46,6627891.0,68.28286963,136.5267125,73.1159255
2020-02-18,137.34,137.71,135.05,135.64,8997247.0,54.23976429,136.516188,64.7090051
2020-02-19,136.91,138.39,136.34,137.49,7071399.0,60.23878222,136.5345281,64.08431762
2020-02-20,137.17,138.36,136.53,137.49,7422800.0,55.61015013,136.5541133,63.62777515
2020-02-21,136.55,136.92,134.92,135.81,9772770.0,63.90005089,136.5359305,65.16138116
2020-02-24,131.44,133.2,130.8,132.16,13618432.0,45.98000055,136.3727701,54.83227522
2020-02-25,131.0,132.23,125.59,126.26,20797188.0,26.27435078,135.9332748,43.13303402
2020-02-26,126.93,128.95,126.34,126.64,24836163.0,18.00099318,135.4232844,31.81862566
2020-02-27,122.91,125.62,121.3,121.37,23005470.0,13.68514659,134.7655034,23.37125899
2020-02-28,117.52,118.49,112.66,116.11,45942580.0,11.25825787,132.978629,19.23029525
2020-03-02,116.63,121.58,114.46,121.52,27355446.0,24.67211052,132.2475435,26.39652802
2020-03-03,120.97,122.95,116.24,116.96,32547736.0,21.03529759,131.4447874,20.85266101
2020-03-04,118.33,120.19,114.7,119.85,25795867.0,26.85544172,130.8520738,16.20223961
2020-03-05,115.67,116.43,112.58,113.97,25025628.0,23.4156435,130.162155,15.3334525
2020-03-06,106.26,110.32,105.02,108.08,38159405.0,20.87632934,128.8241908,14.02252391
2020-03-09,96.57,99.23,93.0,93.44,40352025.0,16.64562434,126.8242225,13.10654358
2020-03-10,99.0,101.28,94.58,100.7,31102652.0,23.21248874,125.5972608,17.43907646
2020-03-11,97.7,100.05,94.55,95.96,38157806.0,21.71367861,124.1305025,14.12494874
2020-03-12,89.59,96.96,86.32,88.05,49725233.0,20.0151035,122.0284715,13.19267524
2020-03-13,95.99,103.99,92.0,103.91,38543328.0,34.62168064,121.0106426,20.34607095
2020-03-16,85.2,93.98,84.55,88.36,38589653.0,31.33005205,119.5957064,20.03775529
2020-03-17,90.89,97.44,87.5,93.76,35239844.0,34.56628674,118.561083,26.41775595
2020-03-18,87.67,90.79,80.36,83.89,41525568.0,33.13535849,117.095898,26.05674908
2020-03-19,81.56,88.11,76.91,85.3,32175060.0,35.63905225,115.9942552,27.45548219
2020-03-20,86.3,89.46,82.48,83.5,30150823.0,31.66121168,115.0762211,26.41521278
2020-03-23,82.68,83.75,78.09,79.03,32536580.0,31.68871743,113.9938155,27.11734357
2020-03-24,84.9,90.1,82.9,88.43,34363160.0,35.7285617,113.1395092,33.51662331
2020-03-25,89.24,95.15,84.54,91.73,38111699.0,39.6558195,112.3669294,40.34461397
2020-03-26,94.08,98.57,93.54,98.12,29840426.0,45.38888747,111.9609966,47.63302291
2020-03-27,93.19,94.84,90.55,91.13,30041458.0,48.84902554,111.4563692,48.76132954
2020-03-30,90.65,94.09,89.3,93.5,21656933.0,46.2287774,111.1104872,47.51541577
2020-03-31,92.05,94.17,89.34,90.03,23379303.0,46.85211569,110.7295002,49.25329402
2020-04-01,85.1,86.56,83.25,84.36,28029566.0,47.99346574,110.1468431,51.83097307
2020-04-02,83.51,87.91,82.96,87.51,24017959.0,39.6516907,109.6943893,49.61405168
2020-04-03,86.0,87.48,82.77,84.05,21199448.0,47.40738244,109.2867217,51.79982928
2020-04-06,88.99,90.99,87.7,89.46,26820846.0,47.45989248,108.8832577,50.63477469
2020-04-07,94.45,94.5,90.38,90.64,22563810.0,56.66944748,108.5974809,58.7104671
2020-04-08,92.1,94.86,90.55,94.3,22903255.0,58.32309263,108.3404148,65.88625881
2020-04-09,96.92,104.39,96.89,102.76,42084666.0,65.23797655,108.1319058,67.49477093
2020-04-13,103.11,103.11,97.3,98.19,26911949.0,65.0940731,107.9709336,67.37057692
2020-04-14,101.02,102.0,93.64,95.5,46151255.0,56.70008312,107.6311261,56.71805696
2020-04-15,91.15,92.03,90.13,90.79,30118621.0,50.00277883,107.2999031,48.43699316
2020-04-16,90.23,90.57,87.05,87.33,32449619.0,41.58668707,106.9015232,40.61563667
2020-04-17,92.0,95.7,90.96,95.18,30191898.0,54.22222444,106.653414,48.24101431
2020-04-20,92.47,94.71,90.46,91.71,23679430.0,49.31178814,106.4409074,42.599192
2020-04-21,88.62,91.38,88.33,89.05,23035023.0,49.9544858,106.201722,42.67768438
2020-04-22,90.69,91.87,89.18,89.34,16706026.0,55.40567464,106.0384161,47.87213042
2020-04-23,89.74,91.28,89.26,89.39,16638765.0,52.72441096,105.8770797,42.81751295
2020-04-24,90.64,91.1,88.49,90.71,15815286.0,56.68944938,105.7279278,47.325084
2020-04-27,91.94,95.63,91.54,94.62,22870210.0,55.34383172,105.568755,46.9489604
2020-04-28,97.81,98.36,95.03,95.29,20238900.0,54.86708335,105.4585327,46.75861647
2020-04-29,99.08,99.45,97.27,97.86,20462562.0,53.81322881,105.3728887,46.56474362
2020-04-30,95.6,96.84,94.55,95.76,19127632.0,41.31945064,105.2676448,36.84656967
2020-05-01,93.5,93.74,91.84,93.25,18547741.0,43.54416704,105.1387557,37.97217583
2020-05-04,92.02,92.67,90.8,92.14,15725875.0,45.41982559,105.0221352,42.05486572
2020-05-05,93.65,94.21,91.9,92.0,18064140.0,51.88418451,104.8990086,49.87249392
2020-05-06,92.16,92.76,89.93,90.27,20978035.0,54.83867286,104.7393769,51.69464249
2020-05-07,91.34,92.91,90.58,91.21,16771938.0,41.54249401,104.619635,49.17093936
2020-05-08,92.8,94.08,92.11,92.7,20494915.0,52.30335719,104.4916234,57.46953116
2020-05-11,91.11,91.11,89.33,89.97,31907585.0,52.13357175,104.2502308,55.63336224
2020-05-12,90.15,90.79,86.9,87.03,27962923.0,45.22924962,104.0177141,47.90782135
2020-05-13,86.38,86.86,83.4,84.03,35451600.0,40.13259323,103.6696043,45.31867708
2020-05-14,82.72,88.11,82.4,87.52,35152452.0,44.56190402,103.3585965,48.28268696
2020-05-15,86.85,87.28,85.3,85.9,26099044.0,33.87573244,103.1366189,48.45826369
2020-05-18,88.69,91.15,87.88,90.45,30528734.0,42.17335838,102.9388177,49.8023578
2020-05-19,90.05,91.2,88.59,88.67,19597291.0,34.74938958,102.811599,43.55766651
2020-05-20,90.71,92.39,90.37,91.33,20552362.0,42.78266485,102.6991698,49.71084251
2020-05-21,90.27,91.76,89.67,90.17,14621406.0,44.75120001,102.6147617,50.37872186
2020-05-22,90.01,90.36,88.72,89.47,13557923.0,45.38540443,102.5310341,50.77263915
2020-05-26,92.89,97.5,92.61,95.82,41233949.0,55.43536479,102.3933259,54.26311827
2020-05-27,102.07,102.58,98.8,101.37,39402040.0,64.24541139,102.3668981,62.68900438
2020-05-28,102.94,102.95,99.4,99.86,24738542.0,60.94103364,102.3488011,56.56296546
2020-05-29,98.66,99.18,96.78,97.31,26538154.0,55.67872633,102.2947302,50.10421022
2020-06-01,97.75,99.51,97.38,98.6,15207495.0,61.02169056,102.2693148,56.51035567
